timestamp,city,avg_temp,humidity,wind_kph
2024-05-31,Helsinki,16.4,74.3,11.0
2024-05-24,Paris,14.4,85,11.2
2024-05-25,Paris,15.4,71,10.4
2024-05-26,Paris,16.3,76,21.6
2024-05-27,Paris,13.6,72,18.7
2024-05-28,Paris,12.7,85,18.0
2024-05-29,Paris,13.8,95,15.5
2024-05-30,Paris,12.5,89,15.8
2024-05-31,Paris,12.3,91.7,18.8
2024-05-24,Libreville,26.3,79,14.8
2024-05-25,Libreville,25.8,77,13.7
2024-05-26,Libreville,26.0,77,14.4
2024-05-27,Libreville,25.8,78,12.6
2024-05-28,Libreville,26.3,79,15.1
2024-05-29,Libreville,26.6,83,17.6
2024-05-30,Libreville,26.5,82,18.4
2024-05-31,Libreville,26.5,82.6,18.0
2024-05-24,Banjul,24.0,76,23.4
2024-05-25,Banjul,24.3,76,29.9
2024-05-26,Banjul,24.3,79,22.3
2024-05-27,Banjul,24.9,78,23.0
2024-05-28,Banjul,25.2,80,22.3
2024-05-29,Banjul,25.4,82,27.0
2024-05-30,Banjul,24.4,71,32.0
2024-05-31,Banjul,25.3,77.1,28.6
2024-05-24,Tbilisi,13.9,86,10.8
2024-05-25,Tbilisi,13.8,83,15.1
2024-05-26,Tbilisi,14.0,83,8.3
2024-05-27,Tbilisi,18.1,67,13.3
2024-05-28,Tbilisi,19.1,70,14.0
2024-05-29,Tbilisi,20.9,64,11.5
2024-05-30,Tbilisi,21.6,68,17.6
2024-05-31,Tbilisi,23.4,59.4,15.6
2024-05-24,Berlin,19.4,62,21.2
2024-05-25,Berlin,19.9,68,11.9
2024-05-26,Berlin,20.5,62,18.0
2024-05-27,Berlin,18.3,76,11.2
2024-05-28,Berlin,15.1,78,18.7
2024-05-29,Berlin,14.4,76,19.4
2024-05-30,Berlin,15.2,81,11.5
2024-05-31,Berlin,13.4,84.6,14.1
2024-05-24,Accra,28.1,77,22.0
2024-05-25,Accra,28.0,77,22.3
2024-05-26,Accra,27.6,78,15.1
2024-05-27,Accra,28.1,71,21.2
2024-05-28,Accra,27.9,71,24.1
2024-05-29,Accra,28.2,72,24.8
2024-05-30,Accra,28.2,73,25.2
2024-05-31,Accra,28.2,70.0,25.5
2024-05-24,Athens,22.5,45,7.2
2024-05-25,Athens,22.5,48,19.4
2024-05-26,Athens,19.5,56,31.0
2024-05-27,Athens,19.1,46,33.8
2024-05-28,Athens,20.7,39,16.2
2024-05-29,Athens,21.6,45,18.0
2024-05-30,Athens,21.3,50,18.7
2024-05-31,Athens,20.4,45.9,23.0
2024-05-24,Saint George's,27.5,79,25.9
2024-05-25,Saint George's,27.8,81,24.5
2024-05-26,Saint George's,27.6,83,25.2
2024-05-27,Saint George's,28.0,79,24.1
2024-05-28,Saint George's,27.9,78,24.5
2024-05-29,Saint George's,27.9,78,25.6
2024-05-30,Saint George's,27.2,84,24.8
2024-05-31,Saint George's,27.6,80.9,24.7
2024-05-24,Guatemala City,22.1,78,14.8
2024-05-25,Guatemala City,22.4,77,13.3
2024-05-26,Guatemala City,22.0,78,13.7
2024-05-27,Guatemala City,22.1,76,11.5
2024-05-28,Guatemala City,22.3,72,10.1
2024-05-29,Guatemala City,21.7,72,7.9
2024-05-30,Guatemala City,21.5,70,6.1
2024-05-31,Guatemala City,21.6,69.0,5.3
2024-05-24,Conakry,27.6,82,17.6
2024-05-25,Conakry,27.6,80,20.9
2024-05-26,Conakry,28.0,81,16.6
2024-05-27,Conakry,28.1,78,14.8
2024-05-28,Conakry,28.0,78,16.2
2024-05-29,Conakry,27.2,78,21.2
2024-05-30,Conakry,27.9,79,22.3
2024-05-31,Conakry,27.8,77.1,20.6
2024-05-24,Bissau,27.6,66,22.0
2024-05-25,Bissau,28.1,61,22.0
2024-05-26,Bissau,27.8,65,24.5
2024-05-27,Bissau,28.7,70,27.7
2024-05-28,Bissau,28.7,75,26.6
2024-05-29,Bissau,26.7,79,23.4
2024-05-30,Bissau,28.2,57,21.2
2024-05-31,Bissau,28.0,70.3,24.3
2024-05-24,Georgetown,26.3,87,10.1
2024-05-25,Georgetown,25.3,93,9.7
2024-05-26,Georgetown,25.0,93,9.0
2024-05-27,Georgetown,25.1,93,7.6
2024-05-28,Georgetown,25.9,88,10.8
2024-05-29,Georgetown,25.6,93,7.9
2024-05-30,Georgetown,26.5,84,10.8
2024-05-31,Georgetown,26.0,88.1,9.5
2024-05-24,Port-au-Prince,23.9,77,7.9
2024-05-25,Port-au-Prince,25.1,76,11.2
2024-05-26,Port-au-Prince,25.4,75,8.3
2024-05-27,Port-au-Prince,25.0,75,9.0
2024-05-28,Port-au-Prince,23.6,79,10.1
2024-05-29,Port-au-Prince,24.4,70,7.6
2024-05-30,Port-au-Prince,25.2,73,8.3
2024-05-31,Port-au-Prince,24.8,72.1,8.3
2024-05-24,Tegucigalpa,23.5,80,13.3
2024-05-25,Tegucigalpa,24.0,77,14.0
2024-05-26,Tegucigalpa,24.4,74,15.1
2024-05-27,Tegucigalpa,24.5,71,13.0
2024-05-28,Tegucigalpa,24.4,67,11.5
2024-05-29,Tegucigalpa,24.2,64,11.2
2024-05-30,Tegucigalpa,23.9,64,13.7
2024-05-31,Tegucigalpa,24.4,59.4,12.0
2024-05-24,Budapest,16.1,89,12.2
2024-05-25,Budapest,19.1,68,16.6
2024-05-26,Budapest,19.4,69,10.4
2024-05-27,Budapest,20.7,57,11.9
2024-05-28,Budapest,18.7,64,16.2
2024-05-29,Budapest,18.4,69,20.2
2024-05-30,Budapest,20.2,59,14.4
2024-05-31,Budapest,20.4,54.6,17.4
2024-05-24,Reykjavik,8.4,84,70.2
2024-05-25,Reykjavik,9.7,76,59.4
